,Affiliated Artist,Weight,Original Artist,Affiliated Genre,Original Genre
0,Miley Cyrus,6254,Mark Ronson,Pop,Dance/Electronic
1,Miley Cyrus,6254,Mark Ronson,Pop,Dance/Electronic
2,Miley Cyrus,6254,Mark Ronson,Pop,Dance/Electronic
3,Miley Cyrus,6254,Mark Ronson,Pop,Dance/Electronic
4,Bruno Mars,5707,Mark Ronson,Pop/Rock,Dance/Electronic
5,Bruno Mars,5707,Mark Ronson,Pop/Rock,Dance/Electronic
6,Amy Winehouse,3237,Mark Ronson,Soul,Dance/Electronic
7,Amy Winehouse,3237,Mark Ronson,Soul,Dance/Electronic
8,Lady Gaga,2068,Mark Ronson,Pop,Dance/Electronic
9,Lady Gaga,2068,Mark Ronson,Pop,Dance/Electronic
10,Diplo,1347,Mark Ronson,Dance,Dance/Electronic
11,Diplo,1347,Mark Ronson,Dance,Dance/Electronic
12,Mark Ronson,1095,Mark Ronson,Dance/Electronic,Dance/Electronic
13,Mark Ronson,1095,Mark Ronson,Dance/Electronic,Dance/Electronic
14,Lykke Li,766,Mark Ronson,Pop/Rock,Dance/Electronic
15,Lykke Li,766,Mark Ronson,Pop/Rock,Dance/Electronic
16,Kacey Musgraves,745,Mark Ronson,Country,Dance/Electronic
17,Kacey Musgraves,745,Mark Ronson,Country,Dance/Electronic
18,Taylor Swift,869,Mark Ronson,Pop,Dance/Electronic
19,Taylor Swift,869,Mark Ronson,Pop,Dance/Electronic
20,Taylor Swift,869,Mark Ronson,Pop,Dance/Electronic
21,Taylor Swift,869,Mark Ronson,Pop,Dance/Electronic
22,Troye Sivan,514,Mark Ronson,,Dance/Electronic
23,Troye Sivan,514,Mark Ronson,,Dance/Electronic
24,Beyoncé,526,Mark Ronson,Pop,Dance/Electronic
25,Beyoncé,526,Mark Ronson,Pop,Dance/Electronic
26,Beyoncé,526,Mark Ronson,Pop,Dance/Electronic
27,Beyoncé,526,Mark Ronson,Pop,Dance/Electronic
28,Ariana Grande,665,Mark Ronson,Pop,Dance/Electronic
29,Ariana Grande,665,Mark Ronson,Pop,Dance/Electronic
30,Ariana Grande,665,Mark Ronson,Pop,Dance/Electronic
31,Ariana Grande,665,Mark Ronson,Pop,Dance/Electronic
32,Lana Del Rey,395,Mark Ronson,Alternative,Dance/Electronic
33,Lana Del Rey,395,Mark Ronson,Alternative,Dance/Electronic
34,Rod Stewart,372,Mark Ronson,Rock,Dance/Electronic
35,Rod Stewart,372,Mark Ronson,Rock,Dance/Electronic
36,Shawn Mendes,563,Mark Ronson,Rock,Dance/Electronic
37,Shawn Mendes,563,Mark Ronson,Rock,Dance/Electronic
38,Ellie Goulding,400,Mark Ronson,Pop,Dance/Electronic
39,Ellie Goulding,400,Mark Ronson,Pop,Dance/Electronic
40,Ellie Goulding,400,Mark Ronson,Pop,Dance/Electronic
41,Ellie Goulding,400,Mark Ronson,Pop,Dance/Electronic
42,Angel Olsen,381,Mark Ronson,Rock,Dance/Electronic
43,Angel Olsen,381,Mark Ronson,Rock,Dance/Electronic
